,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
82,83,Habilitado,SI,SI,NO,NO,,"ENTRE ROSCA REDUCCION 1"" a 3/4"" PP",ERR134,',',0,0,0,unidad,0.21,CAVALLFER,0,0,148.7603306,182.64081824999997,,180.0,180,SI,SI,NO,0.0,0.0,,,
83,84,Habilitado,SI,SI,NO,NO,,"ENTRE ROSCA REF.   1/2"" PP ",ER12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,49.58677686,56.412105749999995,,60.0,60,SI,SI,NO,0.0,0.0,,,
84,85,Habilitado,SI,SI,NO,NO,,"ENTRE ROSCA REF.  3/4"" PP",ER34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,49.58677686,64.1295765,,60.0,60,SI,SI,NO,0.0,0.0,,,
85,86,Habilitado,SI,SI,NO,NO,,"ENTRE ROSCA REF. 1"" PP",ER1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,66.11570248,84.8292885,,80.0,80,SI,SI,NO,0.0,0.0,,,
86,87,Habilitado,SI,SI,NO,NO,,"NIPLE REF.   1/2"" x   20 cm. PP",N2012,',',0,0,0,unidad,0.21,CAVALLFER,0,0,247.9338843,304.70083875,,300.0,300,SI,SI,NO,0.0,0.0,,,
87,88,Habilitado,SI,SI,NO,NO,,"NIPLE REF.   1/2"" x   6 cm. PP",N612,',',0,0,0,unidad,0.21,CAVALLFER,0,0,74.38016529,90.10304325,,90.0,90,SI,SI,NO,0.0,0.0,,,
88,89,Habilitado,SI,SI,NO,NO,,"NIPLE REF.   1/2"" x  8 cm. PP",N812,',',0,0,0,unidad,0.21,CAVALLFER,0,0,99.17355372,117.046809,,120.0,120,SI,SI,NO,0.0,0.0,,,
89,90,Habilitado,SI,SI,NO,NO,,"NIPLE REF.   1/2"" x 10 cm. PP",N1012,',',0,0,0,unidad,0.21,CAVALLFER,0,0,148.7603306,175.74091425,,180.0,180,SI,SI,NO,0.0,0.0,,,
90,91,Habilitado,SI,SI,NO,NO,,"NIPLE REF.   1/2"" x 12 cm. PP",N1212,',',0,0,0,unidad,0.21,CAVALLFER,0,0,190.0826446,226.87926525,,230.0,230,SI,SI,NO,0.0,0.0,,,
91,92,Habilitado,SI,SI,NO,NO,,"NIPLE REF.   1/2"" x 15 cm. PP",N1512,',',0,0,0,unidad,0.21,CAVALLFER,0,0,206.6115702,247.57897724999998,,250.0,250,SI,SI,NO,0.0,0.0,,,
